"","loc","zip","zcta"
"737","40.818,-73.925","10451","10451"
"738","40.863,-73.921","10034","10034"
"739","40.718,-74.006","10013","10013"
"740","40.705,-74.006","10038","10038"
"741","40.721,-74.01","10013","10013"
"742","40.775,-73.904","11105","11105"
"743","40.764,-73.905","11103","11103"
"744","40.827,-73.889","10459","10459"
"745","40.83,-73.886","10459","10459"
"746","40.84,-73.911","10457","10457"
"747","40.825,-73.916","10451","10451"
"748","40.688,-73.908","11207","11207"
"749","40.692,-73.965","11205","11205"
"750","40.689,-73.969","11205","11205"
"751","40.637,-74.022","11220","11220"
"752","40.784,-73.912","11105","11105"
"753","40.673,-73.98","11215","11215"
"754","40.82,-73.901","10459","10459"
"755","40.701,-73.907","11385","11385"
"756","40.82,-73.921","10451","10451"
"757","40.771,-73.904","11105","11105"
"758","40.647,-74.019","11220","11220"
"759","40.768,-73.896","11370","11370"
"760","40.699,-73.919","11237","11237"
"761","40.663,-73.996","11232","11232"
"762","40.827,-73.896","10459","10459"
"763","40.849,-73.903","10457","10457"
"764","40.764,-73.936","11106","11106"
"765","40.675,-74.008","11232","11232"
"766","40.64,-74.023","11220","11220"
"767","40.681,-73.976","11217","11217"
"768","40.68,-73.984","11217","11217"
"769","40.82,-73.904","10456","10456"
"770","40.824,-73.897","10459","10459"
"771","40.843,-73.909","10457","10457"
"772","40.728,-74.005","10014","10014"
"773","40.645,-74.015","11220","11220"
"774","40.804,-73.956","10026","10026"
"775","40.833,-73.925","10452","10452"
"776","40.814,-73.912","10455","10455"
"777","40.83,-73.921","10452","10452"
"778","40.773,-73.906","11105","11105"
"779","40.71,-73.937","11206","11206"
"780","40.689,-74","11201","11201"
"781","40.808,-73.924","10454","10454"
"782","40.817,-73.928","10451","10451"
"783","40.841,-73.892","10457","10457"
"784","40.847,-73.933","10033","10033"
"785","40.825,-73.888","10459","10459"
"786","40.837,-73.888","10460","10460"
"787","40.775,-73.919","11105","11105"
"788","40.666,-73.961","11225","11225"
"789","40.705,-74.014","10003","10003"
"790","40.707,-73.929","11237","11237"
"791","40.827,-73.941","10031","10031"
"792","40.664,-73.957","11225","11225"
"793","40.862,-73.93","10040","10040"
"794","40.7,-73.912","11237","11237"
"795","40.852,-73.931","10033","10033"
"796","40.826,-73.927","10451","10451"
"797","40.648,-73.979","11218","11218"
"798","40.821,-73.918","10451","10451"
"799","40.643,-73.979","11218","11218"
"800","40.683,-73.906","11207","11207"
"801","40.807,-73.961","10027","10027"
"802","40.8,-73.924","10454","10454"
"803","40.645,-74.004","11220","11220"
"804","40.64,-74.016","11220","11220"
"805","40.822,-73.927","10451","10451"
"806","40.779,-73.906","11105","11105"
"807","40.831,-73.917","10456","10456"
"808","40.678,-74.009","11231","11231"
"809","40.834,-73.922","10452","10452"
"810","40.677,-74.006","11231","11231"
"811","40.822,-73.915","10451","10451"
"812","40.675,-73.998","11231","11231"
"813","40.668,-73.984","11215","11215"
"814","40.659,-74.007","11232","11232"
"815","40.724,-73.976","10009","10009"
"816","40.702,-73.987","11201","11201"
"817","40.781,-73.918","11105","11105"
"818","40.754,-73.9","11377","11377"
"819","40.675,-73.988","11215","11215"
"820","40.745,-73.987","10016","10016"
"821","40.728,-73.991","10003","10003"
"822","40.747,-74.005","10011","10011"
"823","40.689,-73.965","11205","11205"
"824","40.832,-73.941","10032","10032"
"825","40.7,-73.902","11385","11385"
"826","40.766,-73.987","10019","10019"
"827","40.709,-73.956","11211","11211"
"828","40.644,-73.986","11218","11218"
"829","40.822,-73.953","10031","10031"
"830","40.81,-73.953","10027","10027"
"831","40.758,-73.991","10036","10036"
"832","40.814,-73.959","10027","10027"
"833","40.839,-73.927","10452","10452"
"834","40.695,-73.952","11206","11206"
"835","40.819,-73.902","10455","10455"
"836","40.838,-73.906","10456","10456"
"837","40.711,-73.934","11206","11206"
"838","40.648,-73.971","11218","11218"
"839","40.835,-73.915","10456","10456"
"840","40.732,-73.979","10009","10009"
"841","40.757,-73.974","10170","10170"
"842","40.688,-73.92","11221","11221"
"843","40.827,-73.943","10031","10031"
"844","40.855,-73.93","10040","10040"
"845","40.764,-73.948","10044","10044"
"846","40.719,-73.942","11211","11211"
"847","40.868,-73.926","10034","10034"
"848","40.775,-73.913","11105","11105"
"849","40.733,-74.009","10014","10014"
"850","40.771,-73.908","11105","11105"
"851","40.856,-73.927","10040","10040"
"852","40.838,-73.936","10032","10032"
"853","40.818,-73.894","10459","10459"
"854","40.832,-73.942","10032","10032"
"855","40.806,-73.934","10035","10035"
"856","40.803,-73.92","10454","10454"
"857","40.678,-74","11231","11231"
"858","40.827,-73.946","10031","10031"
"859","40.713,-73.994","11201","11201"
"860","40.744,-73.942","11101","11101"
"861","40.742,-73.957","11101","11101"
"862","40.722,-74.008","10013","10013"
"863","40.655,-73.973","11218","11218"
"864","40.731,-73.952","11222","11222"
"865","40.83,-73.944","10031","10031"
"866","40.805,-73.919","10454","10454"
"867","40.819,-73.889","10474","10474"
"868","40.826,-73.899","10459","10459"
"869","40.794,-73.974","10025","10025"
"870","40.651,-74.007","11232","11232"
"871","40.815,-73.918","10455","10455"
"872","40.832,-73.927","10452","10452"
"873","40.784,-73.984","10024","10024"
"874","40.843,-73.942","10032","10032"
"875","40.703,-73.989","11201","11201"
"876","40.739,-74.008","10014","10014"
"877","40.808,-73.949","10027","10027"
"878","40.73,-73.987","10003","10003"
"879","40.84,-73.918","10452","10452"
"880","40.698,-73.971","11205","11205"
"881","40.755,-73.992","10018","10018"
"882","40.814,-73.915","10455","10455"
"883","40.819,-73.956","10027","10027"
"884","40.719,-74.007","10014","10014"
"885","40.7,-73.98","11205","11205"
"886","40.741,-74.002","10014","10014"
"887","40.758,-73.983","10036","10036"
"888","40.81,-73.955","10027","10027"
"889","40.74,-73.984","10010","10010"
"890","40.816,-73.896","10474","10474"
"891","40.825,-73.892","10459","10459"
"892","40.745,-73.999","10011","10011"
"893","40.811,-73.922","10454","10454"
"894","40.804,-73.967","10025","10025"
"895","40.728,-73.954","11222","11222"
"896","40.843,-73.9","10457","10457"
"897","40.73,-74.002","10014","10014"
"898","40.727,-73.997","10014","10014"
"899","40.786,-73.949","10029","10029"
"900","40.73,-73.999","10014","10014"
"901","40.747,-73.997","10001","10001"
"902","40.761,-74.003","10003","10003"
"903","40.706,-74.017","10280","10280"
"904","40.783,-73.931","10029","10029"
"905","40.755,-73.987","10018","10018"
"906","40.778,-73.989","10069","10069"
"907","40.76,-73.999","10018","10018"
"908","40.73,-73.954","11222","11222"
"909","40.757,-73.922","11101","11101"
"910","40.727,-74.003","10012","10012"
"911","40.692,-73.993","11201","11201"
"912","40.764,-73.974","10153","10153"
"913","40.727,-73.98","10009","10009"
"914","40.679,-73.975","11217","11217"
"915","40.734,-73.981","10003","10003"
"916","40.726,-73.944","11222","11222"
"917","40.703,-73.93","11237","11237"
"918","40.679,-74.011","11231","11231"
"919","40.68,-73.979","11217","11217"
"920","40.832,-73.922","10452","10452"
"921","40.713,-73.966","11249","11211"
"922","40.756,-73.903","11377","11377"
"923","40.838,-73.913","10456","10456"
"924","40.645,-73.98","11218","11218"
"925","40.83,-73.94","10031","10031"
"926","40.743,-73.977","10016","10016"
"927","40.719,-73.983","10002","10002"
"928","40.766,-73.914","11103","11103"
"929","40.674,-73.986","11215","11215"
"930","40.714,-73.935","11211","11211"
"931","40.763,-73.94","11106","11106"
"932","40.846,-73.92","10452","10452"
"933","40.691,-73.921","11221","11221"
"934","40.677,-73.987","11215","11215"
"935","40.761,-73.91","11103","11103"
"936","40.789,-73.94","10029","10029"
"937","40.814,-73.939","10037","10037"
"938","40.688,-73.985","11217","11217"
"939","40.84,-73.943","10032","10032"
"940","40.819,-73.941","10030","10030"
"941","40.84,-73.905","10457","10457"
"942","40.824,-73.919","10451","10451"
"943","40.779,-73.919","11105","11105"
"944","40.75,-73.92","11101","11101"
"945","40.762,-73.997","10036","10036"
"946","40.839,-73.899","10457","10457"
"947","40.721,-73.981","10002","10002"
"948","40.806,-73.965","10025","10025"
"949","40.687,-73.991","11201","11201"
"950","40.693,-73.969","11205","11205"
"951","40.745,-73.958","11109","11109"
"952","40.792,-73.964","10025","10025"
"953","40.807,-73.912","10454","10454"
"954","40.835,-73.902","10456","10456"
"955","40.869,-73.932","10034","10034"
"956","40.709,-73.945","11206","11206"
"957","40.852,-73.938","10033","10033"
"958","40.825,-73.902","10456","10456"
"959","40.708,-73.94","11206","11206"
"960","40.753,-73.97","10017","10017"
"961","40.674,-73.956","11216","11216"
"962","40.688,-73.97","11205","11205"
"963","40.705,-73.925","11237","11237"
"964","40.692,-73.974","11205","11205"
"965","40.801,-73.966","10025","10025"
"966","40.721,-73.978","10009","10009"
"967","40.718,-73.993","10002","10002"
"968","40.778,-73.949","10128","10128"
"969","40.7,-73.995","11201","11201"
"970","40.686,-74.002","11231","11231"
"971","40.766,-73.972","10153","10153"
"972","40.752,-73.988","10018","10018"
"973","40.704,-73.918","11237","11237"
"974","40.745,-74.002","10011","10011"
"975","40.769,-73.901","11105","11105"
"976","40.841,-73.915","10452","10452"
"977","40.85,-73.911","10453","10453"
"978","40.816,-73.92","10451","10451"
"979","40.771,-73.964","10021","10021"
"980","40.768,-73.911","11103","11103"
"981","40.836,-73.937","10032","10032"
"982","40.726,-74.008","10013","10013"
"983","40.823,-73.956","10031","10031"
"984","40.692,-74","11201","11201"
"985","40.736,-74.009","10014","10014"
"986","40.782,-73.915","11105","11105"
"987","40.735,-74.007","10014","10014"
"988","40.683,-74.003","11231","11231"
"989","40.777,-73.928","11102","11102"
"990","40.695,-73.92","11221","11221"
"991","40.809,-73.911","10454","10454"
"992","40.701,-73.936","11206","11206"
"993","40.824,-73.894","10459","10459"
"994","40.807,-73.919","10454","10454"
"995","40.837,-73.908","10456","10456"
"996","40.813,-73.902","10455","10455"
"997","40.835,-73.895","10460","10460"
"998","40.803,-73.934","10035","10035"
"999","40.83,-73.899","10456","10456"
"1000","40.705,-73.935","11206","11206"
"1001","40.773,-73.933","11102","11102"
"1002","40.865,-73.919","10034","10034"
"1003","40.638,-74.018","11220","11220"
"1004","40.87,-73.921","10034","10034"
"1005","40.651,-74.011","11232","11232"
"1006","40.668,-73.974","11215","11215"
"1007","40.709,-73.915","11385","11385"
"1008","40.671,-73.989","11215","11215"
"1009","40.856,-73.933","10040","10040"
"1010","40.657,-73.974","11218","11218"
"1011","40.663,-73.991","11215","11215"
"1012","40.653,-73.973","11218","11218"
"1013","40.658,-74.001","11232","11232"
"1014","40.638,-74.014","11220","11220"
"1015","40.827,-73.894","10459","10459"
"1016","40.822,-73.917","10451","10451"
"1017","40.672,-73.994","11215","11215"
"1018","40.775,-73.9","11105","11105"
"1019","40.706,-73.913","11385","11385"
"1020","40.866,-73.923","10034","10034"
"1021","40.669,-73.993","11215","11215"
"1022","40.648,-73.972","11218","11218"
"1023","40.67,-73.985","11215","11215"
"1024","40.814,-73.925","10451","10451"
"1025","40.696,-73.944","11237","11237"
"1026","40.694,-73.91","11221","11221"
"1027","40.706,-73.922","11237","11237"
"1028","40.803,-73.917","10454","10454"
"1029","40.771,-73.917","11101","11101"
"1030","40.775,-73.948","10028","10028"
"1031","40.7,-73.95","11216","11216"
"1032","40.687,-73.959","11238","11238"
"1033","40.724,-73.956","11211","11211"
"1034","40.718,-73.941","11211","11211"
"1035","40.71,-73.917","11385","11385"
"1036","40.825,-73.942","10039","10039"
"1037","40.772,-73.895","11370","11370"
"1038","40.681,-73.999","11231","11231"
"1039","40.647,-74.001","11232","11232"
"1040","40.699,-73.901","11385","11385"
"1041","40.718,-74.013","10285","10280"
"1042","40.743,-73.949","11109","11109"
"1043","40.722,-73.997","10012","10012"
"1044","40.688,-73.995","11201","11201"
"1045","40.833,-73.939","10032","10032"
"1046","40.836,-73.907","10456","10456"
"1047","40.742,-73.978","10016","10016"
"1048","40.701,-73.933","11206","11206"
"1049","40.752,-73.99","10018","10018"
"1050","40.775,-73.989","10023","10023"
"1051","40.849,-73.93","10040","10040"
"1052","40.722,-73.977","10009","10009"
"1053","40.813,-73.924","10451","10451"
"1054","40.827,-73.952","10031","10031"
"1055","40.756,-73.964","10022","10022"
"1056","40.758,-73.924","11106","11106"
"1057","40.818,-73.948","10030","10030"
"1058","40.674,-73.979","11215","11215"
"1059","40.649,-74.012","11220","11220"
"1060","40.758,-73.939","11101","11101"
"1061","40.784,-73.917","11370","11370"
"1062","40.743,-73.974","10016","10016"
"1063","40.715,-73.957","11211","11211"
"1064","40.755,-73.966","10022","10022"
"1065","40.77,-73.894","11370","11370"
"1066","40.813,-73.956","10027","10027"
"1067","40.71,-73.961","11211","11211"
"1068","40.728,-74.011","10282","10282"
"1069","40.676,-74.015","11231","11231"
"1070","40.673,-73.99","11215","11215"
"1071","40.764,-73.985","10019","10019"
"1072","40.763,-73.914","11103","11103"
"1073","40.7,-73.992","11201","11201"
"1074","40.793,-73.949","10029","10029"
"1075","40.759,-73.959","10155","10022"
"1076","40.747,-73.994","10001","10001"
"1077","40.768,-73.993","10019","10019"
"1078","40.649,-74.02","11232","11232"
"1079","40.642,-74.013","11220","11220"
"1080","40.823,-73.923","10451","10451"
"1081","40.82,-73.912","10451","10451"
"1082","40.649,-74.009","11220","11220"
"1083","40.792,-73.946","10029","10029"
"1084","40.708,-74.005","10038","10038"
"1085","40.698,-73.903","11385","11385"
"1086","40.726,-73.942","11222","11222"
"1087","40.824,-73.928","10451","10451"
"1088","40.76,-73.974","10022","10022"
"1089","40.709,-73.951","11211","11211"
"1090","40.811,-73.943","10027","10027"
"1091","40.828,-73.913","10456","10456"
"1092","40.841,-73.94","10031","10031"
"1093","40.753,-73.921","11101","11101"
"1094","40.83,-73.892","10459","10459"
"1095","40.794,-73.972","10025","10025"
"1096","40.732,-74.007","10014","10014"
"1097","40.798,-73.942","10029","10029"
"1098","40.686,-73.936","11221","11221"
"1099","40.713,-73.999","10038","10038"
"1100","40.66,-73.978","11215","11215"
"1101","40.696,-73.971","11205","11205"
"1102","40.65,-73.968","11226","11226"
"1103","40.695,-73.987","11201","11201"
"1104","40.738,-74","10001","10001"
"1105","40.761,-73.967","10022","10022"
"1106","40.71,-74.007","10038","10038"
"1107","40.824,-73.955","10031","10031"
"1108","40.82,-73.908","10456","10456"
"1109","40.671,-74.001","11231","11231"
"1110","40.834,-73.921","10452","10452"
"1111","40.832,-73.915","10456","10456"
"1112","40.773,-73.927","11102","11102"
"1113","40.858,-73.932","10040","10040"
"1114","40.707,-73.936","11206","11206"
"1115","40.756,-73.99","10018","10018"
"1116","40.691,-73.917","11221","11221"
"1117","40.793,-73.977","10024","10024"
"1118","40.686,-73.916","11207","11207"
"1119","40.763,-73.965","10065","10065"
"1120","40.743,-73.936","11101","11101"
"1121","40.81,-73.918","10454","10454"
"1122","40.742,-73.954","11109","11109"
"1123","40.698,-73.997","11201","11201"
"1124","40.717,-73.963","11249","11211"
"1125","40.853,-73.927","10040","10040"
"1126","40.816,-73.892","10474","10474"
"1127","40.748,-73.997","10001","10001"
"1128","40.817,-73.888","10474","10474"
"1129","40.843,-73.912","10453","10453"
"1130","40.75,-73.998","10001","10001"
"1131","40.681,-73.995","11231","11231"
"1132","40.698,-73.926","11221","11221"
"1133","40.844,-73.917","10452","10452"
"1134","40.692,-74.015","10004","10004"
"1135","40.839,-73.926","10452","10452"
"1136","40.811,-73.927","10037","10037"
"1137","40.733,-73.958","11222","11222"
"1138","40.648,-73.974","11218","11218"
"1139","40.707,-73.924","11385","11385"
"1140","40.656,-74.01","11232","11232"
"1141","40.643,-74.009","11220","11220"
"1142","40.679,-73.982","11217","11217"
"1143","40.706,-73.91","11385","11385"
"1144","40.717,-73.936","11211","11211"
"1145","40.693,-73.929","11221","11221"
"1146","40.701,-73.987","11201","11201"
"1147","40.828,-73.927","10451","10451"
"1148","40.75,-73.991","10119","10119"
"1149","40.799,-73.939","10035","10035"
"1150","40.705,-73.92","11237","11237"
"1151","40.719,-73.993","10002","10002"
"1152","40.714,-73.993","10002","10002"
"1153","40.683,-73.984","11217","11217"
"1154","40.707,-73.954","11211","11211"
"1155","40.768,-73.921","11102","11102"
"1156","40.707,-73.958","11249","11211"
"1157","40.73,-73.948","11222","11222"
"1158","40.687,-73.917","11221","11221"
"1159","40.807,-73.942","10027","10027"
"1160","40.773,-73.956","10075","10075"
"1161","40.708,-74.004","10038","10038"
"1162","40.823,-73.951","10031","10031"
"1163","40.859,-73.934","10040","10040"
"1164","40.736,-74.001","10014","10014"
"1165","40.724,-73.95","11222","11222"
"1166","40.649,-73.977","11218","11218"
"1167","40.728,-73.987","10003","10003"
"1168","40.726,-74","10012","10012"
"1169","40.671,-73.958","11238","11238"
"1170","40.723,-73.989","10002","10002"
"1171","40.739,-74.003","10001","10001"
"1172","40.636,-74.02","11220","11220"
"1173","40.721,-73.992","10002","10002"
"1174","40.84,-73.9","10457","10457"
"1175","40.765,-73.992","10019","10019"
"1176","40.693,-73.908","11237","11237"
"1177","40.751,-74.002","10001","10001"
"1178","40.714,-73.928","11237","11237"
"1179","40.652,-73.981","11218","11218"
"1180","40.764,-73.911","11103","11103"
"1181","40.823,-73.944","10030","10030"
"1182","40.641,-74.011","11220","11220"
"1183","40.84,-73.913","10453","10453"
"1184","40.724,-73.999","10003","10003"
"1185","40.823,-73.942","10030","10030"
"1186","40.757,-73.945","11101","11101"
"1187","40.766,-73.907","11103","11103"
"1188","40.806,-73.936","10035","10035"
"1189","40.852,-73.909","10453","10453"
"1190","40.768,-73.894","11370","11370"
"1191","40.766,-73.931","11106","11106"
"1192","40.668,-73.959","11225","11225"
"1193","40.674,-74.012","11231","11231"
"1194","40.722,-73.945","11222","11222"
"1195","40.867,-73.929","10034","10034"
"1196","40.831,-73.895","10459","10459"
"1197","40.831,-73.911","10456","10456"
"1198","40.645,-73.974","11218","11218"
"1199","40.682,-73.98","11217","11217"
"1200","40.82,-73.916","10455","10455"
"1201","40.801,-73.944","10035","10035"
"1202","40.773,-73.967","10075","10075"
"1203","40.716,-73.992","10002","10002"
"1204","40.789,-73.952","10029","10029"
"1205","40.784,-73.955","10128","10128"
"1206","40.685,-73.994","11201","11201"
"1207","40.843,-73.939","10032","10032"
"1208","40.681,-73.95","11233","11233"
"1209","40.76,-73.978","10111","10111"
"1210","40.719,-73.991","10002","10002"
"1211","40.712,-73.979","10002","10002"
"1212","40.817,-73.942","10030","10030"
"1213","40.769,-73.967","10065","10065"
"1214","40.711,-74","10038","10038"
"1215","40.726,-73.995","10012","10012"
"1216","40.689,-73.96","11221","11221"
"1217","40.705,-73.911","11385","11385"
"1218","40.691,-73.957","11205","11205"
"1219","40.846,-73.938","10033","10033"
"1220","40.779,-73.958","10028","10028"
"1221","40.742,-74.001","10011","10011"
"1222","40.744,-74.004","10011","10011"
"1223","40.816,-73.954","10027","10027"
"1224","40.692,-73.989","11201","11201"
"1225","40.71,-73.94","11211","11211"
"1226","40.871,-73.914","10034","10034"
"1227","40.738,-73.996","10011","10011"
"1228","40.69,-73.948","11216","11216"
"1229","40.716,-73.948","11211","11211"
"1230","40.812,-73.904","10455","10455"
"1231","40.796,-73.919","10035","10035"
"1232","40.686,-73.996","11201","11201"
"1233","40.822,-73.929","10452","10452"
"1234","40.653,-73.976","11218","11218"
"1235","40.76,-73.927","11106","11106"
"1236","40.761,-73.931","11106","11106"
"1237","40.719,-73.949","11211","11211"
"1238","40.763,-73.903","11377","11377"
"1239","40.78,-73.923","11102","11102"
"1240","40.797,-73.97","10025","10025"
"1241","40.691,-73.996","11201","11201"
"1242","40.683,-73.993","11231","11231"
"1243","40.654,-74.004","11232","11232"
"1244","40.677,-73.969","11238","11238"
"1245","40.699,-73.923","11221","11221"
"1246","40.725,-73.948","11222","11222"
"1247","40.759,-73.975","10022","10022"
"1248","40.755,-73.972","10017","10017"
"1249","40.719,-73.952","11211","11211"
"1250","40.704,-74.006","10041","10004"
"1251","40.787,-73.942","10029","10029"
"1252","40.652,-73.972","11218","11218"
"1253","40.771,-73.988","10023","10023"
"1254","40.713,-73.949","11211","11211"
"1255","40.702,-73.909","11385","11385"
"1256","40.696,-73.978","11205","11205"
"1257","40.676,-74.003","11231","11231"
"1258","40.638,-74.025","11220","11220"
"1259","40.689,-73.912","11207","11207"
"1260","40.715,-73.945","11211","11211"
"1261","40.701,-73.918","11237","11237"
"1262","40.681,-73.908","11233","11233"
"1263","40.666,-73.993","11215","11215"
"1264","40.707,-73.906","11385","11385"
"1265","40.705,-74.009","10004","10004"
"1266","40.701,-74.012","10004","10004"
"1267","40.767,-73.935","11106","11106"
"1268","40.65,-74.016","11232","11232"
"1269","40.759,-73.962","10022","10022"
"1270","40.657,-74.009","11232","11232"
"1271","40.725,-73.975","10009","10009"
"1272","40.861,-73.921","10034","10034"
"1273","40.819,-73.89","10474","10474"
"1274","40.836,-73.884","10460","10460"
"1275","40.753,-73.912","11101","11101"
"1276","40.777,-73.907","11105","11105"
"1277","40.789,-73.944","10029","10029"
"1278","40.77,-73.906","11105","11105"
"1279","40.761,-73.911","11103","11103"
"1280","40.818,-73.905","10456","10456"
"1281","40.752,-73.925","11101","11101"
"1282","40.779,-73.915","11105","11105"
"1283","40.837,-73.926","10452","10452"
"1284","40.789,-73.967","10024","10024"
"1285","40.772,-73.947","10028","10028"
"1286","40.679,-73.93","11203","11203"
"1287","40.829,-73.937","10039","10039"
"1288","40.717,-73.988","10002","10002"
"1289","40.682,-73.991","11231","11231"
"1290","40.809,-73.96","10027","10027"
"1291","40.711,-73.994","10002","10002"
"1292","40.691,-73.912","11221","11221"
"1293","40.666,-73.989","11215","11215"
"1294","40.666,-73.996","11231","11231"
"1295","40.702,-74.014","10004","10004"
"1296","40.762,-73.973","10037","10037"
"1297","40.679,-73.968","11238","11238"
"1298","40.773,-73.95","10028","10028"
"1299","40.716,-74","10013","10013"
"1300","40.678,-73.973","11233","11233"
"1301","40.698,-73.909","11237","11237"
"1302","40.792,-73.938","10029","10029"
"1303","40.666,-73.957","11225","11225"
"1304","40.699,-73.898","11385","11385"
"1305","40.692,-73.984","11201","11201"
"1306","40.68,-73.938","11216","11216"
"1307","40.655,-74.011","11232","11232"
"1308","40.831,-73.936","10039","10039"
"1309","40.686,-73.994","11201","11201"
"1310","40.719,-73.959","11249","11211"
"1311","40.759,-73.989","10036","10036"
"1312","40.711,-74.006","10038","10038"
"1313","40.804,-73.946","10027","10027"
"1314","40.739,-73.977","10010","10010"
"1315","40.788,-73.975","10024","10024"
"1316","40.693,-73.977","11237","11237"
"1317","40.74,-74.005","10014","10014"
"1318","40.69,-73.992","11201","11201"
"1319","40.733,-74.007","10014","10014"
"1320","40.797,-73.937","10035","10035"
"1321","40.817,-73.939","10030","10030"
"1322","40.75,-73.952","11101","11101"
"1323","40.812,-73.929","10451","10451"
"1324","40.817,-73.923","10451","10451"
"1325","40.698,-73.913","11237","11237"
"1326","40.799,-73.945","10029","10029"
"1327","40.691,-73.951","11216","11216"
"1328","40.691,-73.904","11237","11237"
"1329","40.754,-73.915","11103","11103"
"1330","40.771,-73.89","11370","11370"
"1331","40.742,-73.994","10011","10011"
"1332","40.788,-73.97","10024","10024"
"1333","40.812,-73.961","10115","10115"
"1334","40.756,-74.002","10199","10199"
"1335","40.641,-74.018","11220","11220"
"1336","40.642,-73.981","11218","11218"
"1337","40.677,-74.016","11231","11231"
"1338","40.769,-73.891","11370","11370"
"1339","40.773,-73.959","10075","10075"
"1340","40.673,-74.005","11231","11231"
"1341","40.752,-73.948","11101","11101"
"1342","40.692,-73.979","11201","11201"
"1343","40.839,-73.945","10032","10032"
"1344","40.79,-73.948","10029","10029"
"1345","40.679,-73.988","11215","11215"
"1346","40.683,-73.979","11213","11213"
"1347","40.848,-73.941","10033","10033"
"1348","40.806,-73.915","10454","10454"
"1349","40.76,-73.907","11377","11377"
"1350","40.821,-73.912","10451","10451"
"1351","40.718,-73.949","11211","11211"
"1352","40.663,-73.999","11232","11232"
"1353","40.814,-73.885","10474","10474"
"1354","40.834,-73.89","10460","10460"
"1355","40.824,-73.911","10451","10451"
"1356","40.822,-73.908","10456","10456"
"1357","40.817,-73.915","10455","10455"
"1358","40.846,-73.904","10457","10457"
"1359","40.823,-73.902","10456","10456"
"1360","40.74,-73.99","10010","10010"
"1361","40.832,-73.893","10459","10459"
"1362","40.83,-73.923","10452","10452"
"1363","40.705,-73.971","11251","11211"
"1364","40.863,-73.918","10034","10034"
"1365","40.811,-73.908","10455","10455"
"1366","40.832,-73.902","10456","10456"
"1367","40.837,-73.902","10456","10456"
"1368","40.832,-73.897","10456","10456"
"1369","40.829,-73.905","10456","10456"
"1370","40.839,-73.911","10457","10457"
"1371","40.73,-74.01","10014","10014"
"1372","40.75,-74","10001","10001"
"1373","40.873,-73.918","10034","10034"
"1374","40.733,-74.011","10001","10001"
"1375","40.847,-73.911","10453","10453"
"1376","40.848,-73.916","10453","10453"
"1377","40.871,-73.912","10034","10034"
"1378","40.767,-73.93","11106","11106"
"1379","40.767,-73.982","10019","10019"
"1380","40.67,-73.97","11238","11238"
"1381","40.856,-73.907","10453","10453"
"1382","40.854,-73.912","10453","10453"
"1383","40.848,-73.918","10453","10453"
"1384","40.645,-73.975","11218","11218"
"1385","40.848,-73.902","10457","10457"
"1386","40.731,-73.988","10003","10003"
"1387","40.847,-73.907","10457","10457"
"1388","40.854,-73.898","10457","10457"
"1389","40.862,-73.912","10468","10468"
"1390","40.874,-73.887","10468","10468"
"1391","40.874,-73.892","10468","10468"
"1392","40.863,-73.901","10468","10468"
"1393","40.862,-73.899","10468","10468"
"1394","40.685,-74.025","10004","10004"
"1395","40.854,-73.909","10453","10453"
"1396","40.867,-73.898","10468","10468"
"1397","40.74,-74.01","10001","10001"
"1398","40.76,-74","10018","10018"
"1399","40.658,-73.986","11215","11215"
"1400","40.848,-73.922","10453","10453"
"1401","40.673,-73.969","11238","11238"
"1402","40.858,-73.903","10453","10453"
"1403","40.856,-73.896","10457","10457"
"1404","40.86,-73.901","10468","10468"
"1405","40.864,-73.892","10458","10458"
"1406","40.852,-73.916","10453","10453"
"1407","40.863,-73.923","10034","10034"
"1408","40.688,-73.991","11201","11201"
"1409","40.694,-73.995","11201","11201"
"1410","40.856,-73.906","10453","10453"
"1411","40.858,-73.91","10453","10453"
"1412","40.703,-73.985","11201","11201"
"1413","40.869,-73.891","10458","10458"
"1414","40.857,-73.898","10458","10458"
"1415","40.846,-73.914","10453","10453"
"1416","40.851,-73.901","10457","10457"
"1417","40.863,-73.903","10468","10468"
"1418","40.755,-73.996","10018","10018"
"1419","40.85,-73.913","10453","10453"
"1420","40.721,-73.985","10002","10002"
"1421","40.855,-73.913","10453","10453"
"1422","40.853,-73.918","10453","10453"
"1423","40.872,-73.897","10468","10468"
"1424","40.855,-73.917","10453","10453"
"1425","40.871,-73.888","10458","10458"
"1426","40.862,-73.895","10468","10468"
"1427","40.687,-74.017","11232","11232"
"1428","40.85,-73.919","10453","10453"
"1429","40.874,-73.895","10468","10468"
"1430","40.864,-73.895","10458","10458"
"1431","40.87,-73.882","10458","10458"
"1432","40.863,-73.907","10468","10468"
"1433","40.698,-73.984","11201","11201"
"1434","40.873,-73.89","10468","10468"
"1435","40.877,-73.889","10468","10468"
"1436","40.819,-73.945","10030","10030"
"1437","40.879,-73.885","10467","10467"
"1438","40.853,-73.905","10453","10453"
"1439","40.825,-73.952","10031","10031"
"1440","40.69,-73.979","11201","11201"
"1441","40.862,-73.891","10458","10458"
"1442","40.678,-73.969","11238","11238"
"1443","40.694,-73.982","11201","11201"
"1444","40.764,-73.971","10022","10022"
"1445","40.866,-73.888","10458","10458"
"1446","40.878,-73.892","10468","10468"
"1447","40.85,-73.916","10453","10453"
"1448","40.858,-73.906","10453","10453"
"1449","40.868,-73.884","10458","10458"
